Date,Regroupement,Croisement,Nom,psi_quo_pos_n
2020-06-10,Région,RSS03,03 - Capitale-Nationale,11
2020-06-10,Région,RSS04,04 - Mauricie et Centre-du-Québec,2
2020-06-10,Région,RSS05,05 - Estrie,3
2020-06-10,Région,RSS06,06 - Montréal,72
2020-06-10,Région,RSS07,07 - Outaouais,0
2020-06-10,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-10,Région,RSS09,09 - Côte-Nord,0
2020-06-10,Région,RSS10,10 - Nord-du-Québec,0
2020-06-10,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-10,Région,RSS12,12 - Chaudière-Appalaches,1
2020-06-10,Région,RSS13,13 - Laval,9
2020-06-10,Région,RSS14,14 - Lanaudière,10
2020-06-10,Région,RSS15,15 - Laurentides,7
2020-06-10,Région,RSS16,16 - Montérégie,34
2020-06-10,Région,RSS17,17 - Nunavik,0
2020-06-10,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-10,Région,RSS00,Inconnu,3
2020-06-10,Région,RSS98,Hors Québec,1
2020-06-10,Région,RSS99,Ensemble du Québec,155
2020-06-10,Groupe de région,REG01,Montréal et Laval,81
2020-06-10,Groupe de région,REG02,Ceinture de Montréal,34
2020-06-10,Groupe de région,REG03,Autres régions,36
2020-06-10,Groupe de région,REG00,Inconnu,3
2020-06-10,Groupe de région,REG98,Hors Québec,1
2020-06-10,Groupe d'âge,0_9,0-9 ans,7
2020-06-10,Groupe d'âge,10_19,10-19 ans,9
2020-06-10,Groupe d'âge,20_29,20-29 ans,34
2020-06-10,Groupe d'âge,30_39,30-39 ans,22
2020-06-10,Groupe d'âge,40_49,40-49 ans,24
2020-06-10,Groupe d'âge,50_59,50-59 ans,12
2020-06-10,Groupe d'âge,60_69,60-69 ans,12
2020-06-10,Groupe d'âge,70_79,70-79 ans,14
2020-06-10,Groupe d'âge,80_89,80-89 ans,11
2020-06-10,Groupe d'âge,90_,90 ans et plus,10
2020-06-10,Groupe d'âge,INC,Inconnu,0
2020-06-10,Groupe d'âge,TOT,Total,155
2020-06-10,Sexe,MASC,Masculin,62
2020-06-10,Sexe,FEM,Féminin,91
2020-06-10,Sexe,INC,Inconnu,2
2020-06-10,Sexe,TOT,Total,155
2020-06-11,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-06-11,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-06-11,Région,RSS03,03 - Capitale-Nationale,7
2020-06-11,Région,RSS04,04 - Mauricie et Centre-du-Québec,7
2020-06-11,Région,RSS05,05 - Estrie,1
2020-06-11,Région,RSS06,06 - Montréal,69
2020-06-11,Région,RSS07,07 - Outaouais,3
2020-06-11,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-11,Région,RSS09,09 - Côte-Nord,0
2020-06-11,Région,RSS10,10 - Nord-du-Québec,0
2020-06-11,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-11,Région,RSS12,12 - Chaudière-Appalaches,0
2020-06-11,Région,RSS13,13 - Laval,7
2020-06-11,Région,RSS14,14 - Lanaudière,5
2020-06-11,Région,RSS15,15 - Laurentides,6
2020-06-11,Région,RSS16,16 - Montérégie,36
2020-06-11,Région,RSS17,17 - Nunavik,0
2020-06-11,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-11,Région,RSS00,Inconnu,0
2020-06-11,Région,RSS98,Hors Québec,0
2020-06-11,Région,RSS99,Ensemble du Québec,141
2020-06-11,Groupe de région,REG01,Montréal et Laval,76
2020-06-11,Groupe de région,REG02,Ceinture de Montréal,20
2020-06-11,Groupe de région,REG03,Autres régions,45
2020-06-11,Groupe de région,REG00,Inconnu,0
2020-06-11,Groupe de région,REG98,Hors Québec,0
2020-06-11,Groupe d'âge,0_9,0-9 ans,1
2020-06-11,Groupe d'âge,10_19,10-19 ans,13
2020-06-11,Groupe d'âge,20_29,20-29 ans,21
2020-06-11,Groupe d'âge,30_39,30-39 ans,15
2020-06-11,Groupe d'âge,40_49,40-49 ans,23
2020-06-11,Groupe d'âge,50_59,50-59 ans,16
2020-06-11,Groupe d'âge,60_69,60-69 ans,15
2020-06-11,Groupe d'âge,70_79,70-79 ans,19
2020-06-11,Groupe d'âge,80_89,80-89 ans,9
2020-06-11,Groupe d'âge,90_,90 ans et plus,9
2020-06-11,Groupe d'âge,INC,Inconnu,0
2020-06-11,Groupe d'âge,TOT,Total,141
2020-06-11,Sexe,MASC,Masculin,65
2020-06-11,Sexe,FEM,Féminin,76
2020-06-11,Sexe,INC,Inconnu,0
2020-06-11,Sexe,TOT,Total,141
2020-06-12,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-06-12,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,1
2020-06-12,Région,RSS03,03 - Capitale-Nationale,13
2020-06-12,Région,RSS04,04 - Mauricie et Centre-du-Québec,2
2020-06-12,Région,RSS05,05 - Estrie,1
2020-06-12,Région,RSS06,06 - Montréal,56
2020-06-12,Région,RSS07,07 - Outaouais,0
2020-06-12,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-12,Région,RSS09,09 - Côte-Nord,0
2020-06-12,Région,RSS10,10 - Nord-du-Québec,0
2020-06-12,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,1
2020-06-12,Région,RSS12,12 - Chaudière-Appalaches,0
2020-06-12,Région,RSS13,13 - Laval,9
2020-06-12,Région,RSS14,14 - Lanaudière,3
2020-06-12,Région,RSS15,15 - Laurentides,22
2020-06-12,Région,RSS16,16 - Montérégie,43
2020-06-12,Région,RSS17,17 - Nunavik,0
2020-06-12,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-12,Région,RSS00,Inconnu,0
2020-06-12,Région,RSS98,Hors Québec,0
2020-06-12,Région,RSS99,Ensemble du Québec,151
2020-06-12,Groupe de région,REG01,Montréal et Laval,65
2020-06-12,Groupe de région,REG02,Ceinture de Montréal,30
2020-06-12,Groupe de région,REG03,Autres régions,56
2020-06-12,Groupe de région,REG00,Inconnu,0
2020-06-12,Groupe de région,REG98,Hors Québec,0
2020-06-12,Groupe d'âge,0_9,0-9 ans,8
2020-06-12,Groupe d'âge,10_19,10-19 ans,9
2020-06-12,Groupe d'âge,20_29,20-29 ans,23
2020-06-12,Groupe d'âge,30_39,30-39 ans,24
2020-06-12,Groupe d'âge,40_49,40-49 ans,24
2020-06-12,Groupe d'âge,50_59,50-59 ans,19
2020-06-12,Groupe d'âge,60_69,60-69 ans,9
2020-06-12,Groupe d'âge,70_79,70-79 ans,15
2020-06-12,Groupe d'âge,80_89,80-89 ans,14
2020-06-12,Groupe d'âge,90_,90 ans et plus,6
2020-06-12,Groupe d'âge,INC,Inconnu,0
2020-06-12,Groupe d'âge,TOT,Total,151
2020-06-12,Sexe,MASC,Masculin,67
2020-06-12,Sexe,FEM,Féminin,83
2020-06-12,Sexe,INC,Inconnu,1
2020-06-12,Sexe,TOT,Total,151
2020-06-13,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-06-13,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-06-13,Région,RSS03,03 - Capitale-Nationale,3
2020-06-13,Région,RSS04,04 - Mauricie et Centre-du-Québec,2
2020-06-13,Région,RSS05,05 - Estrie,0
2020-06-13,Région,RSS06,06 - Montréal,47
2020-06-13,Région,RSS07,07 - Outaouais,1
2020-06-13,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-13,Région,RSS09,09 - Côte-Nord,0
2020-06-13,Région,RSS10,10 - Nord-du-Québec,0
2020-06-13,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-13,Région,RSS12,12 - Chaudière-Appalaches,2
2020-06-13,Région,RSS13,13 - Laval,4
2020-06-13,Région,RSS14,14 - Lanaudière,4
2020-06-13,Région,RSS15,15 - Laurentides,14
2020-06-13,Région,RSS16,16 - Montérégie,29
2020-06-13,Région,RSS17,17 - Nunavik,0
2020-06-13,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-13,Région,RSS00,Inconnu,0
2020-06-13,Région,RSS98,Hors Québec,0
2020-06-13,Région,RSS99,Ensemble du Québec,106
2020-06-13,Groupe de région,REG01,Montréal et Laval,51
2020-06-13,Groupe de région,REG02,Ceinture de Montréal,21
2020-06-13,Groupe de région,REG03,Autres régions,34
2020-06-13,Groupe de région,REG00,Inconnu,0
2020-06-13,Groupe de région,REG98,Hors Québec,0
2020-06-13,Groupe d'âge,0_9,0-9 ans,0
2020-06-13,Groupe d'âge,10_19,10-19 ans,10
2020-06-13,Groupe d'âge,20_29,20-29 ans,23
2020-06-13,Groupe d'âge,30_39,30-39 ans,12
2020-06-13,Groupe d'âge,40_49,40-49 ans,22
2020-06-13,Groupe d'âge,50_59,50-59 ans,10
2020-06-13,Groupe d'âge,60_69,60-69 ans,8
2020-06-13,Groupe d'âge,70_79,70-79 ans,9
2020-06-13,Groupe d'âge,80_89,80-89 ans,10
2020-06-13,Groupe d'âge,90_,90 ans et plus,2
2020-06-13,Groupe d'âge,INC,Inconnu,0
2020-06-13,Groupe d'âge,TOT,Total,106
2020-06-13,Sexe,MASC,Masculin,48
2020-06-13,Sexe,FEM,Féminin,58
2020-06-13,Sexe,INC,Inconnu,0
2020-06-13,Sexe,TOT,Total,106
2020-06-14,Région,RSS01,01 - Bas-Saint-Laurent,1
2020-06-14,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,1
2020-06-14,Région,RSS03,03 - Capitale-Nationale,7
2020-06-14,Région,RSS04,04 - Mauricie et Centre-du-Québec,1
2020-06-14,Région,RSS05,05 - Estrie,0
2020-06-14,Région,RSS06,06 - Montréal,34
2020-06-14,Région,RSS07,07 - Outaouais,0
2020-06-14,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-14,Région,RSS09,09 - Côte-Nord,0
2020-06-14,Région,RSS10,10 - Nord-du-Québec,0
2020-06-14,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-14,Région,RSS12,12 - Chaudière-Appalaches,0
2020-06-14,Région,RSS13,13 - Laval,4
2020-06-14,Région,RSS14,14 - Lanaudière,2
2020-06-14,Région,RSS15,15 - Laurentides,12
2020-06-14,Région,RSS16,16 - Montérégie,22
2020-06-14,Région,RSS17,17 - Nunavik,0
2020-06-14,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-14,Région,RSS00,Inconnu,0
2020-06-14,Région,RSS98,Hors Québec,0
2020-06-14,Région,RSS99,Ensemble du Québec,84
2020-06-14,Groupe de région,REG01,Montréal et Laval,38
2020-06-14,Groupe de région,REG02,Ceinture de Montréal,21
2020-06-14,Groupe de région,REG03,Autres régions,25
2020-06-14,Groupe de région,REG00,Inconnu,0
2020-06-14,Groupe de région,REG98,Hors Québec,0
2020-06-14,Groupe d'âge,0_9,0-9 ans,5
2020-06-14,Groupe d'âge,10_19,10-19 ans,10
2020-06-14,Groupe d'âge,20_29,20-29 ans,14
2020-06-14,Groupe d'âge,30_39,30-39 ans,8
2020-06-14,Groupe d'âge,40_49,40-49 ans,18
2020-06-14,Groupe d'âge,50_59,50-59 ans,10
2020-06-14,Groupe d'âge,60_69,60-69 ans,4
2020-06-14,Groupe d'âge,70_79,70-79 ans,5
2020-06-14,Groupe d'âge,80_89,80-89 ans,7
2020-06-14,Groupe d'âge,90_,90 ans et plus,3
2020-06-14,Groupe d'âge,INC,Inconnu,0
2020-06-14,Groupe d'âge,TOT,Total,84
2020-06-14,Sexe,MASC,Masculin,33
2020-06-14,Sexe,FEM,Féminin,51
2020-06-14,Sexe,INC,Inconnu,0
2020-06-14,Sexe,TOT,Total,84
2020-06-15,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-06-15,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-06-15,Région,RSS03,03 - Capitale-Nationale,2
2020-06-15,Région,RSS04,04 - Mauricie et Centre-du-Québec,1
2020-06-15,Région,RSS05,05 - Estrie,1
2020-06-15,Région,RSS06,06 - Montréal,49
2020-06-15,Région,RSS07,07 - Outaouais,0
2020-06-15,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-15,Région,RSS09,09 - Côte-Nord,0
2020-06-15,Région,RSS10,10 - Nord-du-Québec,0
2020-06-15,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-15,Région,RSS12,12 - Chaudière-Appalaches,0
2020-06-15,Région,RSS13,13 - Laval,11
2020-06-15,Région,RSS14,14 - Lanaudière,8
2020-06-15,Région,RSS15,15 - Laurentides,10
2020-06-15,Région,RSS16,16 - Montérégie,7
2020-06-15,Région,RSS17,17 - Nunavik,0
2020-06-15,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-15,Région,RSS00,Inconnu,1
2020-06-15,Région,RSS98,Hors Québec,1
2020-06-15,Région,RSS99,Ensemble du Québec,91
2020-06-15,Groupe de région,REG01,Montréal et Laval,60
2020-06-15,Groupe de région,REG02,Ceinture de Montréal,19
2020-06-15,Groupe de région,REG03,Autres régions,10
2020-06-15,Groupe de région,REG00,Inconnu,1
2020-06-15,Groupe de région,REG98,Hors Québec,1
2020-06-15,Groupe d'âge,0_9,0-9 ans,3
2020-06-15,Groupe d'âge,10_19,10-19 ans,8
2020-06-15,Groupe d'âge,20_29,20-29 ans,23
2020-06-15,Groupe d'âge,30_39,30-39 ans,8
2020-06-15,Groupe d'âge,40_49,40-49 ans,13
2020-06-15,Groupe d'âge,50_59,50-59 ans,15
2020-06-15,Groupe d'âge,60_69,60-69 ans,10
2020-06-15,Groupe d'âge,70_79,70-79 ans,2
2020-06-15,Groupe d'âge,80_89,80-89 ans,7
2020-06-15,Groupe d'âge,90_,90 ans et plus,2
2020-06-15,Groupe d'âge,INC,Inconnu,0
2020-06-15,Groupe d'âge,TOT,Total,91
2020-06-15,Sexe,MASC,Masculin,38
2020-06-15,Sexe,FEM,Féminin,53
2020-06-15,Sexe,INC,Inconnu,0
2020-06-15,Sexe,TOT,Total,91
2020-06-16,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-06-16,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-06-16,Région,RSS03,03 - Capitale-Nationale,5
2020-06-16,Région,RSS04,04 - Mauricie et Centre-du-Québec,5
2020-06-16,Région,RSS05,05 - Estrie,0
2020-06-16,Région,RSS06,06 - Montréal,54
2020-06-16,Région,RSS07,07 - Outaouais,1
2020-06-16,Région,RSS08,08 - Abitibi-Témiscamingue,2
2020-06-16,Région,RSS09,09 - Côte-Nord,0
2020-06-16,Région,RSS10,10 - Nord-du-Québec,0
2020-06-16,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-16,Région,RSS12,12 - Chaudière-Appalaches,0
2020-06-16,Région,RSS13,13 - Laval,7
2020-06-16,Région,RSS14,14 - Lanaudière,1
2020-06-16,Région,RSS15,15 - Laurentides,4
2020-06-16,Région,RSS16,16 - Montérégie,20
2020-06-16,Région,RSS17,17 - Nunavik,0
2020-06-16,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-16,Région,RSS00,Inconnu,1
2020-06-16,Région,RSS98,Hors Québec,0
2020-06-16,Région,RSS99,Ensemble du Québec,100
2020-06-16,Groupe de région,REG01,Montréal et Laval,61
2020-06-16,Groupe de région,REG02,Ceinture de Montréal,12
2020-06-16,Groupe de région,REG03,Autres régions,26
2020-06-16,Groupe de région,REG00,Inconnu,1
2020-06-16,Groupe de région,REG98,Hors Québec,0
2020-06-16,Groupe d'âge,0_9,0-9 ans,3
2020-06-16,Groupe d'âge,10_19,10-19 ans,12
2020-06-16,Groupe d'âge,20_29,20-29 ans,18
2020-06-16,Groupe d'âge,30_39,30-39 ans,18
2020-06-16,Groupe d'âge,40_49,40-49 ans,12
2020-06-16,Groupe d'âge,50_59,50-59 ans,12
2020-06-16,Groupe d'âge,60_69,60-69 ans,10
2020-06-16,Groupe d'âge,70_79,70-79 ans,2
2020-06-16,Groupe d'âge,80_89,80-89 ans,9
2020-06-16,Groupe d'âge,90_,90 ans et plus,4
2020-06-16,Groupe d'âge,INC,Inconnu,0
2020-06-16,Groupe d'âge,TOT,Total,100
2020-06-16,Sexe,MASC,Masculin,43
2020-06-16,Sexe,FEM,Féminin,56
2020-06-16,Sexe,INC,Inconnu,1
2020-06-16,Sexe,TOT,Total,100
2020-06-17,Région,RSS01,01 - Bas-Saint-Laurent,3
2020-06-17,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-06-17,Région,RSS03,03 - Capitale-Nationale,8
2020-06-17,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-06-17,Région,RSS05,05 - Estrie,1
2020-06-17,Région,RSS06,06 - Montréal,46
2020-06-17,Région,RSS07,07 - Outaouais,0
2020-06-17,Région,RSS08,08 - Abitibi-Témiscamingue,2
2020-06-17,Région,RSS09,09 - Côte-Nord,0
2020-06-17,Région,RSS10,10 - Nord-du-Québec,0
2020-06-17,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,1
2020-06-17,Région,RSS12,12 - Chaudière-Appalaches,0
2020-06-17,Région,RSS13,13 - Laval,4
2020-06-17,Région,RSS14,14 - Lanaudière,1
2020-06-17,Région,RSS15,15 - Laurentides,14
2020-06-17,Région,RSS16,16 - Montérégie,34
2020-06-17,Région,RSS17,17 - Nunavik,0
2020-06-17,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-17,Région,RSS00,Inconnu,1
2020-06-17,Région,RSS98,Hors Québec,0
2020-06-17,Région,RSS99,Ensemble du Québec,115
2020-06-17,Groupe de région,REG01,Montréal et Laval,50
2020-06-17,Groupe de région,REG02,Ceinture de Montréal,30
2020-06-17,Groupe de région,REG03,Autres régions,34
2020-06-17,Groupe de région,REG00,Inconnu,1
2020-06-17,Groupe de région,REG98,Hors Québec,0
2020-06-17,Groupe d'âge,0_9,0-9 ans,6
2020-06-17,Groupe d'âge,10_19,10-19 ans,5
2020-06-17,Groupe d'âge,20_29,20-29 ans,27
2020-06-17,Groupe d'âge,30_39,30-39 ans,17
2020-06-17,Groupe d'âge,40_49,40-49 ans,18
2020-06-17,Groupe d'âge,50_59,50-59 ans,13
2020-06-17,Groupe d'âge,60_69,60-69 ans,13
2020-06-17,Groupe d'âge,70_79,70-79 ans,9
2020-06-17,Groupe d'âge,80_89,80-89 ans,3
2020-06-17,Groupe d'âge,90_,90 ans et plus,4
2020-06-17,Groupe d'âge,INC,Inconnu,0
2020-06-17,Groupe d'âge,TOT,Total,115
2020-06-17,Sexe,MASC,Masculin,55
2020-06-17,Sexe,FEM,Féminin,59
2020-06-17,Sexe,INC,Inconnu,1
2020-06-17,Sexe,TOT,Total,115
2020-06-18,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-06-18,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-06-18,Région,RSS03,03 - Capitale-Nationale,7
2020-06-18,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-06-18,Région,RSS05,05 - Estrie,1
2020-06-18,Région,RSS06,06 - Montréal,50
2020-06-18,Région,RSS07,07 - Outaouais,0
2020-06-18,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-18,Région,RSS09,09 - Côte-Nord,0
2020-06-18,Région,RSS10,10 - Nord-du-Québec,0
2020-06-18,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-18,Région,RSS12,12 - Chaudière-Appalaches,0
2020-06-18,Région,RSS13,13 - Laval,12
2020-06-18,Région,RSS14,14 - Lanaudière,3
2020-06-18,Région,RSS15,15 - Laurentides,9
2020-06-18,Région,RSS16,16 - Montérégie,21
2020-06-18,Région,RSS17,17 - Nunavik,0
2020-06-18,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-18,Région,RSS00,Inconnu,0
2020-06-18,Région,RSS98,Hors Québec,0
2020-06-18,Région,RSS99,Ensemble du Québec,103
2020-06-18,Groupe de région,REG01,Montréal et Laval,62
2020-06-18,Groupe de région,REG02,Ceinture de Montréal,15
2020-06-18,Groupe de région,REG03,Autres régions,26
2020-06-18,Groupe de région,REG00,Inconnu,0
2020-06-18,Groupe de région,REG98,Hors Québec,0
2020-06-18,Groupe d'âge,0_9,0-9 ans,4
2020-06-18,Groupe d'âge,10_19,10-19 ans,7
2020-06-18,Groupe d'âge,20_29,20-29 ans,25
2020-06-18,Groupe d'âge,30_39,30-39 ans,15
2020-06-18,Groupe d'âge,40_49,40-49 ans,16
2020-06-18,Groupe d'âge,50_59,50-59 ans,16
2020-06-18,Groupe d'âge,60_69,60-69 ans,7
2020-06-18,Groupe d'âge,70_79,70-79 ans,2
2020-06-18,Groupe d'âge,80_89,80-89 ans,6
2020-06-18,Groupe d'âge,90_,90 ans et plus,5
2020-06-18,Groupe d'âge,INC,Inconnu,0
2020-06-18,Groupe d'âge,TOT,Total,103
2020-06-18,Sexe,MASC,Masculin,45
2020-06-18,Sexe,FEM,Féminin,57
2020-06-18,Sexe,INC,Inconnu,1
2020-06-18,Sexe,TOT,Total,103
2020-06-19,Région,RSS01,01 - Bas-Saint-Laurent,3
2020-06-19,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-06-19,Région,RSS03,03 - Capitale-Nationale,7
2020-06-19,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-06-19,Région,RSS05,05 - Estrie,1
2020-06-19,Région,RSS06,06 - Montréal,37
2020-06-19,Région,RSS07,07 - Outaouais,0
2020-06-19,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-19,Région,RSS09,09 - Côte-Nord,0
2020-06-19,Région,RSS10,10 - Nord-du-Québec,0
2020-06-19,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-19,Région,RSS12,12 - Chaudière-Appalaches,1
2020-06-19,Région,RSS13,13 - Laval,5
2020-06-19,Région,RSS14,14 - Lanaudière,2
2020-06-19,Région,RSS15,15 - Laurentides,19
2020-06-19,Région,RSS16,16 - Montérégie,21
2020-06-19,Région,RSS17,17 - Nunavik,0
2020-06-19,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-19,Région,RSS00,Inconnu,0
2020-06-19,Région,RSS98,Hors Québec,0
2020-06-19,Région,RSS99,Ensemble du Québec,96
2020-06-19,Groupe de région,REG01,Montréal et Laval,42
2020-06-19,Groupe de région,REG02,Ceinture de Montréal,24
2020-06-19,Groupe de région,REG03,Autres régions,30
2020-06-19,Groupe de région,REG00,Inconnu,0
2020-06-19,Groupe de région,REG98,Hors Québec,0
2020-06-19,Groupe d'âge,0_9,0-9 ans,3
2020-06-19,Groupe d'âge,10_19,10-19 ans,3
2020-06-19,Groupe d'âge,20_29,20-29 ans,25
2020-06-19,Groupe d'âge,30_39,30-39 ans,17
2020-06-19,Groupe d'âge,40_49,40-49 ans,14
2020-06-19,Groupe d'âge,50_59,50-59 ans,13
2020-06-19,Groupe d'âge,60_69,60-69 ans,9
2020-06-19,Groupe d'âge,70_79,70-79 ans,4
2020-06-19,Groupe d'âge,80_89,80-89 ans,5
2020-06-19,Groupe d'âge,90_,90 ans et plus,3
2020-06-19,Groupe d'âge,INC,Inconnu,0
2020-06-19,Groupe d'âge,TOT,Total,96
2020-06-19,Sexe,MASC,Masculin,36
2020-06-19,Sexe,FEM,Féminin,60
2020-06-19,Sexe,INC,Inconnu,0
2020-06-19,Sexe,TOT,Total,96
2020-06-20,Région,RSS01,01 - Bas-Saint-Laurent,1
2020-06-20,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-06-20,Région,RSS03,03 - Capitale-Nationale,5
2020-06-20,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-06-20,Région,RSS05,05 - Estrie,1
2020-06-20,Région,RSS06,06 - Montréal,29
2020-06-20,Région,RSS07,07 - Outaouais,0
2020-06-20,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-20,Région,RSS09,09 - Côte-Nord,0
2020-06-20,Région,RSS10,10 - Nord-du-Québec,0
2020-06-20,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-20,Région,RSS12,12 - Chaudière-Appalaches,0
2020-06-20,Région,RSS13,13 - Laval,8
2020-06-20,Région,RSS14,14 - Lanaudière,3
2020-06-20,Région,RSS15,15 - Laurentides,14
2020-06-20,Région,RSS16,16 - Montérégie,28
2020-06-20,Région,RSS17,17 - Nunavik,0
2020-06-20,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-20,Région,RSS00,Inconnu,0
2020-06-20,Région,RSS98,Hors Québec,0
2020-06-20,Région,RSS99,Ensemble du Québec,89
2020-06-20,Groupe de région,REG01,Montréal et Laval,37
2020-06-20,Groupe de région,REG02,Ceinture de Montréal,21
2020-06-20,Groupe de région,REG03,Autres régions,31
2020-06-20,Groupe de région,REG00,Inconnu,0
2020-06-20,Groupe de région,REG98,Hors Québec,0
2020-06-20,Groupe d'âge,0_9,0-9 ans,4
2020-06-20,Groupe d'âge,10_19,10-19 ans,4
2020-06-20,Groupe d'âge,20_29,20-29 ans,14
2020-06-20,Groupe d'âge,30_39,30-39 ans,14
2020-06-20,Groupe d'âge,40_49,40-49 ans,16
2020-06-20,Groupe d'âge,50_59,50-59 ans,13
2020-06-20,Groupe d'âge,60_69,60-69 ans,9
2020-06-20,Groupe d'âge,70_79,70-79 ans,6
2020-06-20,Groupe d'âge,80_89,80-89 ans,7
2020-06-20,Groupe d'âge,90_,90 ans et plus,2
2020-06-20,Groupe d'âge,INC,Inconnu,0
2020-06-20,Groupe d'âge,TOT,Total,89
2020-06-20,Sexe,MASC,Masculin,39
2020-06-20,Sexe,FEM,Féminin,49
2020-06-20,Sexe,INC,Inconnu,1
2020-06-20,Sexe,TOT,Total,89
2020-06-21,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-06-21,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-06-21,Région,RSS03,03 - Capitale-Nationale,4
2020-06-21,Région,RSS04,04 - Mauricie et Centre-du-Québec,1
2020-06-21,Région,RSS05,05 - Estrie,2
2020-06-21,Région,RSS06,06 - Montréal,26
2020-06-21,Région,RSS07,07 - Outaouais,0
2020-06-21,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-06-21,Région,RSS09,09 - Côte-Nord,0
2020-06-21,Région,RSS10,10 - Nord-du-Québec,1
2020-06-21,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-06-21,Région,RSS12,12 - Chaudière-Appalaches,1
2020-06-21,Région,RSS13,13 - Laval,18
2020-06-21,Région,RSS14,14 - Lanaudière,4
2020-06-21,Région,RSS15,15 - Laurentides,7
2020-06-21,Région,RSS16,16 - Montérégie,11
2020-06-21,Région,RSS17,17 - Nunavik,0
2020-06-21,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-06-21,Région,RSS00,Inconnu,0
2020-06-21,Région,RSS98,Hors Québec,0
2020-06-21,Région,RSS99,Ensemble du Québec,75
2020-06-21,Groupe de région,REG01,Montréal et Laval,44
2020-06-21,Groupe de région,REG02,Ceinture de Montréal,13
2020-06-21,Groupe de région,REG03,Autres régions,18
2020-06-21,Groupe de région,REG00,Inconnu,0
2020-06-21,Groupe de région,REG98,Hors Québec,0
2020-06-21,Groupe d'âge,0_9,0-9 ans,5
2020-06-21,Groupe d'âge,10_19,10-19 ans,7
2020-06-21,Groupe d'âge,20_29,20-29 ans,24
2020-06-21,Groupe d'âge,30_39,30-39 ans,9
2020-06-21,Groupe d'âge,40_49,40-49 ans,6
2020-06-21,Groupe d'âge,50_59,50-59 ans,13
