horizon,mae,rmse,mlpd,cov90
14,143.35714285714286,148.6157557499973,-2263.9327379676847,0.0
14,116.5,119.44365079101406,-1841.4570135018912,0.0
14,93.78571428571429,97.2327840068065,-1484.0844391897185,0.0
14,70.07142857142857,71.8316484168762,-1110.9440072179243,0.0
14,53.42857142857143,55.03245795502349,-848.9873266353206,0.0
14,44.57142857142857,45.74775560458833,-709.5491832293411,0.0
28,95.67857142857143,102.87527121991674,-1513.8314014717964,0.0
28,116.71428571428571,124.67643837435479,-1844.7709542805865,0.0
28,132.14285714285714,136.91629351020072,-2087.521737525452,0.0
28,139.21428571428572,142.15283525638372,-2198.7800220855393,0.0
28,124.75,129.0831680960546,-1971.2293484366944,0.0
28,106.46428571428571,110.59627350994117,-1683.5552435279842,0.0
28,98.53571428571429,102.5477240814525,-1558.8104206045323,0.0
28,112.0,121.95315259791946,-1770.5983826025672,0.0
28,152.35714285714286,171.00396820792534,-2405.4054100557028,0.0
28,220.75,246.68060610548903,-3481.1297452351173,0.0
28,360.0,413.8441735726142,-5671.07047328377,0.0
28,576.1071428571429,662.6958740090143,-9069.423293072537,0.0
28,762.8214285714286,819.6701644999825,-12005.535843201202,0.0
28,930.9642857142857,954.6007205707974,-14649.555871485381,0.0
28,1000.4642857142857,1009.578925663,-15742.414647027721,0.0
28,978.1428571428571,986.6614341881848,-15391.426654754487,0.0
28,1009.3214285714286,1022.1480008855301,-15881.682940992017,0.0
28,1073.25,1089.3903439211178,-16886.90750607469,0.0
28,1127.392857142857,1140.035541425918,-17738.262144384826,0.0
28,1211.642857142857,1220.7678204427618,-19063.022823917654,0.0
28,1320.107142857143,1333.3675278353355,-20768.519104694107,0.0
28,1435.892857142857,1461.0622236676204,-22589.124445144636,0.0
28,1645.857142857143,1673.7605435494222,-25890.584177144945,0.0
28,1872.75,1896.0477408847821,-29458.214061144216,0.0
28,2119.785714285714,2151.823910745752,-33342.54372898476,0.0
28,2306.25,2329.961350077967,-36274.459514580136,0.0
28,2310.0714285714284,2332.8706258905268,-36334.547005403045,0.0
28,2136.0,2189.6869313084135,-33597.48101955241,0.0
28,1813.7142857142858,1882.4787041102406,-28529.922980371564,0.0
28,1455.142857142857,1502.659499496999,-22891.796204399714,0.0
28,1184.4642857142858,1209.1763578096102,-18635.65100927408,0.0
28,1000.2142857142857,1020.8300544165028,-15738.471662924961,0.0
28,879.7857142857143,894.1960874758639,-13844.819128153405,0.0
28,791.7142857142857,802.2836602029057,-12459.946463449896,0.0
28,739.25,746.003470884304,-11634.972064246453,0.0
28,741.75,752.4288053649044,-11674.278730769176,0.0
28,772.0,789.0481607607992,-12149.938883524173,0.0
28,885.8928571428571,916.0189681442191,-13940.830712539726,0.0
28,1125.25,1201.6407087216805,-17704.513801034813,0.0
28,1298.4642857142858,1352.790700208805,-20428.171160144924,0.0
28,1352.75,1390.9360286203985,-21281.778762581987,0.0
28,1322.4642857142858,1365.0754165455999,-20805.562751092897,0.0
28,1127.5714285714287,1152.9534125143875,-17741.060087289465,0.0
28,957.1785714285714,971.3023841361512,-15061.771779300758,0.0
28,828.4642857142857,850.1645428974323,-13037.805955039334,0.0
28,667.5714285714286,699.5623121434063,-10507.805286109126,0.0
28,508.5357142857143,551.4220900803407,-8006.934978923714,0.0
28,358.2857142857143,395.07838281969896,-5644.152719434112,0.0
28,245.17857142857142,266.61911034282593,-3865.3777505051808,0.0
28,168.89285714285714,181.8836951775188,-2665.5561111143566,0.0
28,122.82142857142857,132.74936104231486,-1940.8442189464422,0.0
28,94.53571428571429,100.77042508309951,-1495.8586572513311,0.0
28,78.78571428571429,81.08196910710615,-1248.0693295995206,0.0
28,80.46428571428571,83.50299395830068,-1274.4749909094367,0.0
28,94.85714285714286,100.32340561546799,-1500.9214293160253,0.0
28,134.5,150.53428655482918,-2124.5293299156756,0.0
28,204.92857142857142,233.4849337445872,-3232.278499454146,0.0
