date,cases
2023-11-08,539
2023-11-09,509
2023-11-10,548
2023-11-11,400
2023-11-12,436
2023-11-13,687
2023-11-14,675
2023-11-15,693
2023-11-16,659
2023-11-17,574
2023-11-18,441
2023-11-19,473
2023-11-20,758
2023-11-21,673
2023-11-22,738
2023-11-23,633
2023-11-24,671
2023-11-25,524
2023-11-26,517
2023-11-27,851
2023-11-28,789
2023-11-29,938
2023-11-30,707
2023-12-01,751
2023-12-02,521
2023-12-03,590
2023-12-04,899
2023-12-05,976
2023-12-06,910
2023-12-07,843
2023-12-08,709
2023-12-09,494
2023-12-10,573
2023-12-11,828
2023-12-12,1197
2023-12-13,997
2023-12-14,1021
2023-12-15,952
2023-12-16,694
2023-12-17,646
2023-12-18,1033
2023-12-19,1069
2023-12-20,915
2023-12-21,884
2023-12-22,676
2023-12-23,538
2023-12-24,468
2023-12-25,399
2023-12-26,616
2023-12-27,977
2023-12-28,972
2023-12-29,802
2023-12-30,626
2023-12-31,461
2024-01-01,398
2024-01-02,678
2024-01-03,916
2024-01-04,804
2024-01-05,678
2024-01-06,464
2024-01-07,413
2024-01-08,630
2024-01-09,581
2024-01-10,424
2024-01-11,470
2024-01-12,445
2024-01-13,264
2024-01-14,254
2024-01-15,398
